model_type,params,n_est_original,mean_rmse,std_rmse,mean_r2,median_iter
lgbm,"{'learning_rate': 0.05, 'num_leaves': 21, 'min_child_samples': 20, 'feature_fraction': 0.8, 'bagging_fraction': 0.9, 'lambda_l1': 3, 'lambda_l2': 0.1, 'min_split_gain': 0.0, 'tweedie_variance_power': 1.3}",2000,21.707678645223666,2.7089175487428214,0.539221383904333,69
lgbm,"{'learning_rate': 0.02, 'num_leaves': 21, 'min_child_samples': 20, 'feature_fraction': 0.7, 'bagging_fraction': 0.7, 'lambda_l1': 10, 'lambda_l2': 0.1, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.4}",2000,21.649725685737184,2.679790060426428,0.5416722482861553,229
lgbm,"{'learning_rate': 0.05, 'num_leaves': 40, 'min_child_samples': 80, 'feature_fraction': 0.7, 'bagging_fraction': 0.7, 'lambda_l1': 0.1, 'lambda_l2': 0.1, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.2}",2000,21.658333974239238,2.6850544776536003,0.5412684527550465,78
lgbm,"{'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 30, 'feature_fraction': 0.7, 'bagging_fraction': 0.8, 'lambda_l1': 1, 'lambda_l2': 10, 'min_split_gain': 0.2, 'tweedie_variance_power': 1.3}",4000,21.708866692700383,2.696873149593496,0.539218346682938,87
lgbm,"{'learning_rate': 0.05, 'num_leaves': 40, 'min_child_samples': 30, 'feature_fraction': 0.9, 'bagging_fraction': 0.8, 'lambda_l1': 10, 'lambda_l2': 3, 'min_split_gain': 0.0, 'tweedie_variance_power': 1.3}",4000,21.72013453204053,2.730370016717798,0.5386139478793094,69
lgbm,"{'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 80, 'feature_fraction': 0.7, 'bagging_fraction': 0.9, 'lambda_l1': 3, 'lambda_l2': 1, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.3}",3000,21.62969352572758,2.7048679819247963,0.5424856862238319,180
lgbm,"{'learning_rate': 0.01, 'num_leaves': 21, 'min_child_samples': 30, 'feature_fraction': 0.7, 'bagging_fraction': 0.8, 'lambda_l1': 1, 'lambda_l2': 1, 'min_split_gain': 0.0, 'tweedie_variance_power': 1.4}",4000,21.62733431837073,2.6660862974344712,0.5426333246958707,432
lgbm,"{'learning_rate': 0.03, 'num_leaves': 40, 'min_child_samples': 80, 'feature_fraction': 0.7, 'bagging_fraction': 0.7, 'lambda_l1': 10, 'lambda_l2': 10, 'min_split_gain': 0.2, 'tweedie_variance_power': 1.1}",4000,21.666238335711963,2.7430588396136257,0.5409306867120377,132
lgbm,"{'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 50, 'feature_fraction': 0.8, 'bagging_fraction': 0.8, 'lambda_l1': 10, 'lambda_l2': 1, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.2}",3000,21.72476380735253,2.756663857061247,0.5384761831526274,65
lgbm,"{'learning_rate': 0.05, 'num_leaves': 40, 'min_child_samples': 20, 'feature_fraction': 0.8, 'bagging_fraction': 0.8, 'lambda_l1': 10, 'lambda_l2': 1, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.2}",1000,21.679725883215784,2.726428171102528,0.5403612245572598,88
lgbm,"{'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 20, 'feature_fraction': 0.9, 'bagging_fraction': 0.8, 'lambda_l1': 1, 'lambda_l2': 10, 'min_split_gain': 0.0, 'tweedie_variance_power': 1.1}",3000,21.76407950585882,2.7512165707974274,0.5368452003314567,63
lgbm,"{'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 30, 'feature_fraction': 0.8, 'bagging_fraction': 0.8, 'lambda_l1': 3, 'lambda_l2': 10, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.4}",3000,21.674454763321958,2.715303646090531,0.5406363036883296,96
lgbm,"{'learning_rate': 0.01, 'num_leaves': 40, 'min_child_samples': 20, 'feature_fraction': 0.9, 'bagging_fraction': 0.9, 'lambda_l1': 0.1, 'lambda_l2': 3, 'min_split_gain': 0.0, 'tweedie_variance_power': 1.1}",1000,21.744010769102555,2.7535100249658733,0.5375953521075312,353
lgbm,"{'learning_rate': 0.01, 'num_leaves': 21, 'min_child_samples': 30, 'feature_fraction': 0.7, 'bagging_fraction': 0.9, 'lambda_l1': 1, 'lambda_l2': 1, 'min_split_gain': 0.0, 'tweedie_variance_power': 1.4}",1000,21.650478659272768,2.6877097903735154,0.5416256510256741,339
lgbm,"{'learning_rate': 0.02, 'num_leaves': 40, 'min_child_samples': 50, 'feature_fraction': 0.8, 'bagging_fraction': 0.7, 'lambda_l1': 0.1, 'lambda_l2': 1, 'min_split_gain': 0.1, 'tweedie_variance_power': 1.1}",1000,21.667401086796293,2.6974254011698795,0.54086956594264,174
lgbm,"{'learning_rate': 0.03, 'num_leaves': 40, 'min_child_samples': 80, 'feature_fraction': 0.9, 'bagging_fraction': 0.7, 'lambda_l1': 0.1, 'lambda_l2': 1, 'min_split_gain': 0.0, 'tweedie_variance_power': 1.3}",1000,21.67222545485335,2.7160151938573596,0.5406884152047824,140
lgbm,"{'learning_rate': 0.01, 'num_leaves': 31, 'min_child_samples': 80, 'feature_fraction': 0.9, 'bagging_fraction': 0.8, 'lambda_l1': 0.1, 'lambda_l2': 3, 'min_split_gain': 0.0, 'tweedie_variance_power': 1.4}",4000,21.703598982919335,2.705224061929478,0.539393122977056,336
lgbm,"{'learning_rate': 0.01, 'num_leaves': 40, 'min_child_samples': 50, 'feature_fraction': 0.9, 'bagging_fraction': 0.8, 'lambda_l1': 1, 'lambda_l2': 10, 'min_split_gain': 0.0, 'tweedie_variance_power': 1.3}",4000,21.723490034291974,2.724560860271886,0.5385140588179496,359
